ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY	OMIM_DISEASE	REACTOME_PATHWAY
FGF21	fibroblast growth factor 21(FGF21)	Homo sapiens	"GO:0007165~signal transduction,GO:0007267~cell-cell signaling,GO:0008284~positive regulation of cell proliferation,GO:0010898~positive regulation of triglyceride catabolic process,GO:0010988~regulation of low-density lipoprotein particle clearance,GO:0014823~response to activity,GO:0030968~endoplasmic reticulum unfolded protein response,GO:0031667~response to nutrient levels,GO:0035690~cellular response to drug,GO:0045716~positive regulation of low-density lipoprotein particle receptor biosynthetic process,GO:0046326~positive regulation of glucose import,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071333~cellular response to glucose stimulus,GO:0071377~cellular response to glucagon stimulus,GO:0071404~cellular response to low-density lipoprotein particle stimulus,GO:0072577~endothelial cell apoptotic process,GO:0090080~positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway,GO:1901215~negative regulation of neuron death,GO:1904640~response to methionine,GO:2000352~negative regulation of endothelial cell apoptotic process,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005623~cell,"	"GO:0005104~fibroblast growth factor receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,"	"hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa05200:Pathways in cancer,hsa05218:Melanoma,"		"R-HSA-174800:R-HSA-174800,R-HSA-428790:R-HSA-428790,R-HSA-70153:R-HSA-70153,"
FGF5	fibroblast growth factor 5(FGF5)	Homo sapiens	"GO:0000165~MAPK cascade,GO:0007267~cell-cell signaling,GO:0007399~nervous system development,GO:0008283~cell proliferation,GO:0008284~positive regulation of cell proliferation,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0010001~glial cell differentiation,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0023019~signal transduction involved in regulation of gene expression,GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process,GO:0043547~positive regulation of GTPase activity,GO:0046854~phosphatidylinositol phosphorylation,GO:0048015~phosphatidylinositol-mediated signaling,GO:0051781~positive regulation of cell division,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,"	"GO:0004713~protein tyrosine kinase activity,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005104~fibroblast growth factor receptor binding,GO:0008083~growth factor activity,GO:0016303~1-phosphatidylinositol-3-kinase activity,GO:0046934~phosphatidylinositol-4,5-bisphosphate 3-kinase activity,"	"hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa05200:Pathways in cancer,hsa05218:Melanoma,"	"190330~Trichomegaly,"	"R-HSA-109704:R-HSA-109704,R-HSA-1257604:R-HSA-1257604,R-HSA-1839122:R-HSA-1839122,R-HSA-1839130:R-HSA-1839130,R-HSA-190372:R-HSA-190372,R-HSA-190373:R-HSA-190373,R-HSA-190375:R-HSA-190375,R-HSA-2033514:R-HSA-2033514,R-HSA-2033519:R-HSA-2033519,R-HSA-2219530:R-HSA-2219530,R-HSA-5654219:R-HSA-5654219,R-HSA-5654221:R-HSA-5654221,R-HSA-5654227:R-HSA-5654227,R-HSA-5654687:R-HSA-5654687,R-HSA-5654688:R-HSA-5654688,R-HSA-5654689:R-HSA-5654689,R-HSA-5654693:R-HSA-5654693,R-HSA-5654695:R-HSA-5654695,R-HSA-5654699:R-HSA-5654699,R-HSA-5654700:R-HSA-5654700,R-HSA-5654704:R-HSA-5654704,R-HSA-5654706:R-HSA-5654706,R-HSA-5654710:R-HSA-5654710,R-HSA-5654726:R-HSA-5654726,R-HSA-5654727:R-HSA-5654727,R-HSA-5654732:R-HSA-5654732,R-HSA-5655253:R-HSA-5655253,R-HSA-5655302:R-HSA-5655302,R-HSA-5673001:R-HSA-5673001,"
FLT3LG	fms related tyrosine kinase 3 ligand(FLT3LG)	Homo sapiens	"GO:0001934~positive regulation of protein phosphorylation,GO:0007165~signal transduction,GO:0008284~positive regulation of cell proliferation,GO:0030098~lymphocyte differentiation,GO:0030885~regulation of myeloid dendritic cell activation,GO:0032825~positive regulation of natural killer cell differentiation,GO:0035162~embryonic hemopoiesis,GO:0045663~positive regulation of myoblast differentiation,GO:0045787~positive regulation of cell cycle,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048873~homeostasis of number of cells within a tissue,GO:0071864~positive regulation of cell proliferation in bone marrow,GO:0071866~negative regulation of apoptotic process in bone marrow,GO:0090290~positive regulation of osteoclast proliferation,GO:1901741~positive regulation of myoblast fusion,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0031233~intrinsic component of external side of plasma membrane,"	"GO:0005102~receptor binding,GO:0005125~cytokine activity,GO:0016301~kinase activity,GO:0030971~receptor tyrosine kinase binding,GO:0042803~protein homodimerization activity,"	"hsa04640:Hematopoietic cell lineage,hsa05200:Pathways in cancer,"		"R-HSA-449147:R-HSA-449147,"
LGALS3	galectin 3(LGALS3)	Homo sapiens	"GO:0002548~monocyte chemotaxis,GO:0006397~mRNA processing,GO:0008380~RNA splicing,GO:0030593~neutrophil chemotaxis,GO:0030855~epithelial cell differentiation,GO:0042129~regulation of T cell proliferation,GO:0045087~innate immune response,GO:0045806~negative regulation of endocytosis,GO:0048245~eosinophil chemotaxis,GO:0048246~macrophage chemotaxis,GO:0050860~negative regulation of T cell receptor signaling pathway,GO:0050918~positive chemotaxis,GO:0070232~regulation of T cell apoptotic process,GO:0071674~mononuclear cell migration,GO:0071677~positive regulation of mononuclear cell migration,GO:0090280~positive regulation of calcium ion import,GO:1902041~regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:2000521~negative regulation of immunological synapse formation,GO:2001189~negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,GO:2001200~positive regulation of dendritic cell differentiation,GO:2001237~negative regulation of extrinsic apoptotic signaling pathway,"	"GO:0001772~immunological synapse,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005681~spliceosomal complex,GO:0005737~cytoplasm,GO:0005743~mitochondrial inner membrane,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0031012~extracellular matrix,GO:0070062~extracellular exosome,"	"GO:0005515~protein binding,GO:0019863~IgE binding,GO:0030246~carbohydrate binding,GO:0042056~chemoattractant activity,GO:0043236~laminin binding,GO:0044822~poly(A) RNA binding,"			"R-HSA-879415:R-HSA-879415,"
GDNF	glial cell derived neurotrophic factor(GDNF)	Homo sapiens	"GO:0000165~MAPK cascade,GO:0001656~metanephros development,GO:0001658~branching involved in ureteric bud morphogenesis,GO:0001755~neural crest cell migration,GO:0001759~organ induction,GO:0001941~postsynaptic membrane organization,GO:0003337~mesenchymal to epithelial transition involved in metanephros morphogenesis,GO:0007165~signal transduction,GO:0007399~nervous system development,GO:0008284~positive regulation of cell proliferation,GO:0008344~adult locomotory behavior,GO:0010468~regulation of gene expression,GO:0021784~postganglionic parasympathetic fiber development,GO:0030432~peristalsis,GO:0031175~neuron projection development,GO:0032770~positive regulation of monooxygenase activity,GO:0033603~positive regulation of dopamine secretion,GO:0043066~negative regulation of apoptotic process,GO:0043524~negative regulation of neuron apoptotic process,GO:0043547~positive regulation of GTPase activity,GO:0045597~positive regulation of cell differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048255~mRNA stabilization,GO:0048484~enteric nervous system development,GO:0048485~sympathetic nervous system development,GO:0051584~regulation of dopamine uptake involved in synaptic transmission,GO:0060676~ureteric bud formation,GO:0060688~regulation of morphogenesis of a branching structure,GO:0072107~positive regulation of ureteric bud formation,GO:0072108~positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,GO:0090190~positive regulation of branching involved in ureteric bud morphogenesis,GO:2000736~regulation of stem cell differentiation,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,"	"GO:0005576~extracellular region,GO:0005622~intracellular,"	"GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0042803~protein homodimerization activity,"		"171300~Pheochromocytoma, modifier of,209880~Central hypoventilation syndrome,613711~Hirschsprung disease, susceptibility to, 3,"	"R-HSA-419037:R-HSA-419037,R-HSA-5673001:R-HSA-5673001,"
HAVCR1	hepatitis A virus cellular receptor 1(HAVCR1)	Homo sapiens	"GO:0046718~viral entry into host cell,"	"GO:0016021~integral component of membrane,GO:0031514~motile cilium,"	"GO:0001618~virus receptor activity,"		"147050~Atopy, resistance to,"	
IL1RL1	interleukin 1 receptor like 1(IL1RL1)	Homo sapiens	"GO:0002826~negative regulation of T-helper 1 type immune response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0032689~negative regulation of interferon-gamma production,GO:0032754~positive regulation of interleukin-5 production,GO:0038172~interleukin-33-mediated signaling pathway,GO:0043032~positive regulation of macrophage activation,GO:0043124~negative regulation of I-kappaB kinase/NF-kappaB signaling,GO:0050729~positive regulation of inflammatory response,GO:0090197~positive regulation of chemokine secretion,"	"GO:0005578~proteinaceous extracellular matrix,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,"	"GO:0002113~interleukin-33 binding,GO:0002114~interleukin-33 receptor activity,GO:0004896~cytokine receptor activity,GO:0004908~interleukin-1 receptor activity,GO:0005057~receptor signaling protein activity,GO:0005515~protein binding,"			"R-HSA-449147:R-HSA-449147,"
IL10	interleukin 10(IL10)	Homo sapiens	"GO:0002237~response to molecule of bacterial origin,GO:0002740~negative regulation of cytokine secretion involved in immune response,GO:0002875~negative regulation of chronic inflammatory response to antigenic stimulus,GO:0002904~positive regulation of B cell apoptotic process,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007253~cytoplasmic sequestering of NF-kappaB,GO:0007267~cell-cell signaling,GO:0007568~aging,GO:0008285~negative regulation of cell proliferation,GO:0010468~regulation of gene expression,GO:0014823~response to activity,GO:0014854~response to inactivity,GO:0030097~hemopoiesis,GO:0030183~B cell differentiation,GO:0030595~leukocyte chemotaxis,GO:0030886~negative regulation of myeloid dendritic cell activation,GO:0030889~negative regulation of B cell proliferation,GO:0032689~negative regulation of interferon-gamma production,GO:0032692~negative regulation of interleukin-1 production,GO:0032695~negative regulation of interleukin-12 production,GO:0032701~negative regulation of interleukin-18 production,GO:0032715~negative regulation of interleukin-6 production,GO:0032717~negative regulation of interleukin-8 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0032800~receptor biosynthetic process,GO:0032868~response to insulin,GO:0034115~negative regulation of heterotypic cell-cell adhesion,GO:0034116~positive regulation of heterotypic cell-cell adhesion,GO:0034465~response to carbon monoxide,GO:0035729~cellular response to hepatocyte growth factor stimulus,GO:0042092~type 2 immune response,GO:0042100~B cell proliferation,GO:0042130~negative regulation of T cell proliferation,GO:0042493~response to drug,GO:0042536~negative regulation of tumor necrosis factor biosynthetic process,GO:0042742~defense response to bacterium,GO:0042832~defense response to protozoan,GO:0043032~positive regulation of macrophage activation,GO:0043066~negative regulation of apoptotic process,GO:0044130~negative regulation of growth of symbiont in host,GO:0045019~negative regulation of nitric oxide biosynthetic process,GO:0045191~regulation of isotype switching,GO:0045347~negative regulation of MHC class II biosynthetic process,GO:0045348~positive regulation of MHC class II biosynthetic process,GO:0045355~negative regulation of interferon-alpha biosynthetic process,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045930~negative regulation of mitotic cell cycle,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046427~positive regulation of JAK-STAT cascade,GO:0050715~positive regulation of cytokine secretion,GO:0050807~regulation of synapse organization,GO:0051045~negative regulation of membrane protein ectodomain proteolysis,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051384~response to glucocorticoid,GO:0060302~negative regulation of cytokine activity,GO:0060670~branching involved in labyrinthine layer morphogenesis,GO:0071222~cellular response to lipopolysaccharide,GO:0071392~cellular response to estradiol stimulus,GO:0071650~negative regulation of chemokine (C-C motif) ligand 5 production,GO:0072577~endothelial cell apoptotic process,GO:0097421~liver regeneration,GO:1903034~regulation of response to wounding,GO:1903659~regulation of complement-dependent cytotoxicity,GO:1904057~negative regulation of sensory perception of pain,GO:1904706~negative regulation of vascular smooth muscle cell proliferation,GO:1904707~positive regulation of vascular smooth muscle cell proliferation,GO:2000352~negative regulation of endothelial cell apoptotic process,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,"	"GO:0005125~cytokine activity,GO:0005141~interleukin-10 receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04068:FoxO signaling pathway,hsa04630:Jak-STAT signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04672:Intestinal immune network for IgA production,hsa05133:Pertussis,hsa05140:Leishmaniasis,hsa05142:Chagas disease (American trypanosomiasis),hsa05143:African trypanosomiasis,hsa05144:Malaria,hsa05145:Toxoplasmosis,hsa05146:Amoebiasis,hsa05150:Staphylococcus aureus infection,hsa05152:Tuberculosis,hsa05310:Asthma,hsa05320:Autoimmune thyroid disease,hsa05321:Inflammatory bowel disease (IBD),hsa05322:Systemic lupus erythematosus,hsa05330:Allograft rejection,"	"180300~Rheumatoid arthritis, progression of,609423~HIV-1, susceptibility to,614395~Graft-versus-host disease, protection against,"	
IL17A	interleukin 17A(IL17A)	Homo sapiens	"GO:0006915~apoptotic process,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007166~cell surface receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0008219~cell death,GO:0032747~positive regulation of interleukin-23 production,GO:0045672~positive regulation of osteoclast differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0050832~defense response to fungus,GO:0071347~cellular response to interleukin-1,GO:0072537~fibroblast activation,GO:1900017~positive regulation of cytokine production involved in inflammatory response,GO:2000778~positive regulation of interleukin-6 secretion,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0009897~external side of plasma membrane,"	"GO:0005125~cytokine activity,GO:0005126~cytokine receptor binding,GO:0005515~protein binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa05321:Inflammatory bowel disease (IBD),hsa05323:Rheumatoid arthritis,"		
IL17C	interleukin 17C(IL17C)	Homo sapiens	"GO:0006954~inflammatory response,GO:0007166~cell surface receptor signaling pathway,GO:0007267~cell-cell signaling,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,"	"GO:0005125~cytokine activity,GO:0005126~cytokine receptor binding,"			
IL18R1	interleukin 18 receptor 1(IL18R1)	Homo sapiens	"GO:0006955~immune response,GO:0007165~signal transduction,GO:0030101~natural killer cell activation,GO:0032729~positive regulation of interferon-gamma production,GO:0035655~interleukin-18-mediated signaling pathway,GO:0042346~positive regulation of NF-kappaB import into nucleus,GO:0045063~T-helper 1 cell differentiation,"	"GO:0005886~plasma membrane,GO:0016021~integral component of membrane,"	"GO:0004872~receptor activity,GO:0004908~interleukin-1 receptor activity,GO:0005515~protein binding,GO:0042008~interleukin-18 receptor activity,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04668:TNF signaling pathway,hsa05321:Inflammatory bowel disease (IBD),"		"R-HSA-449147:R-HSA-449147,"
IL18	interleukin 18(IL18)	Homo sapiens	"GO:0000165~MAPK cascade,GO:0001525~angiogenesis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007267~cell-cell signaling,GO:0010744~positive regulation of macrophage derived foam cell differentiation,GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling,GO:0030101~natural killer cell activation,GO:0030155~regulation of cell adhesion,GO:0030431~sleep,GO:0031663~lipopolysaccharide-mediated signaling pathway,GO:0032148~activation of protein kinase B activity,GO:0032725~positive regulation of granulocyte macrophage colony-stimulating factor production,GO:0032729~positive regulation of interferon-gamma production,GO:0032740~positive regulation of interleukin-17 production,GO:0032819~positive regulation of natural killer cell proliferation,GO:0034105~positive regulation of tissue remodeling,GO:0035655~interleukin-18-mediated signaling pathway,GO:0042033~chemokine biosynthetic process,GO:0042088~T-helper 1 type immune response,GO:0042092~type 2 immune response,GO:0042094~interleukin-2 biosynthetic process,GO:0042095~interferon-gamma biosynthetic process,GO:0042104~positive regulation of activated T cell proliferation,GO:0042231~interleukin-13 biosynthetic process,GO:0042253~granulocyte macrophage colony-stimulating factor biosynthetic process,GO:0042346~positive regulation of NF-kappaB import into nucleus,GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein,GO:0042632~cholesterol homeostasis,GO:0045630~positive regulation of T-helper 2 cell differentiation,GO:0045662~negative regulation of myoblast differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0050729~positive regulation of inflammatory response,GO:0051142~positive regulation of NK T cell proliferation,GO:0051897~positive regulation of protein kinase B signaling,GO:0070328~triglyceride homeostasis,GO:0071407~cellular response to organic cyclic compound,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005829~cytosol,GO:0070062~extracellular exosome,"	"GO:0005125~cytokine activity,GO:0005515~protein binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04621:NOD-like receptor signaling pathway,hsa04623:Cytosolic DNA-sensing pathway,hsa05132:Salmonella infection,hsa05134:Legionellosis,hsa05143:African trypanosomiasis,hsa05144:Malaria,hsa05152:Tuberculosis,hsa05164:Influenza A,hsa05321:Inflammatory bowel disease (IBD),hsa05323:Rheumatoid arthritis,"		"R-HSA-448706:R-HSA-448706,R-HSA-449147:R-HSA-449147,"
IL27	interleukin 27(IL27)	Homo sapiens	"GO:0006954~inflammatory response,GO:0009617~response to bacterium,GO:0042129~regulation of T cell proliferation,GO:0045078~positive regulation of interferon-gamma biosynthetic process,GO:0045087~innate immune response,GO:0045625~regulation of T-helper 1 cell differentiation,GO:0050688~regulation of defense response to virus,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,"	"GO:0005102~receptor binding,GO:0005125~cytokine activity,GO:0045523~interleukin-27 receptor binding,"			"R-HSA-6788467:R-HSA-6788467,"
IL6R	interleukin 6 receptor(IL6R)	Homo sapiens	"GO:0002384~hepatic immune response,GO:0002446~neutrophil mediated immunity,GO:0002548~monocyte chemotaxis,GO:0002690~positive regulation of leukocyte chemotaxis,GO:0006953~acute-phase response,GO:0008284~positive regulation of cell proliferation,GO:0010536~positive regulation of activation of Janus kinase activity,GO:0019221~cytokine-mediated signaling pathway,GO:0031018~endocrine pancreas development,GO:0032717~negative regulation of interleukin-8 production,GO:0032722~positive regulation of chemokine production,GO:0032755~positive regulation of interleukin-6 production,GO:0032966~negative regulation of collagen biosynthetic process,GO:0034097~response to cytokine,GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein,GO:0043410~positive regulation of MAPK cascade,GO:0045669~positive regulation of osteoblast differentiation,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,GO:0070102~interleukin-6-mediated signaling pathway,GO:0070120~ciliary neurotrophic factor-mediated signaling pathway,GO:0097191~extrinsic apoptotic signaling pathway,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005896~interleukin-6 receptor complex,GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0070110~ciliary neurotrophic factor receptor complex,"	"GO:0004896~cytokine receptor activity,GO:0004897~ciliary neurotrophic factor receptor activity,GO:0004915~interleukin-6 receptor activity,GO:0005138~interleukin-6 receptor binding,GO:0005515~protein binding,GO:0019899~enzyme binding,GO:0019981~interleukin-6 binding,GO:0042803~protein homodimerization activity,GO:0070119~ciliary neurotrophic factor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04066:HIF-1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04630:Jak-STAT signaling pathway,hsa04640:Hematopoietic cell lineage,hsa04932:Non-alcoholic fatty liver disease (NAFLD),"	"614689~Interleukin-6 receptor, soluble, serum level of, QTL,614752~Interleukin 6, serum level of, QTL,"	"R-HSA-1059683:R-HSA-1059683,R-HSA-110056:R-HSA-110056,R-HSA-112411:R-HSA-112411,"
IL6	interleukin 6(IL6)	Homo sapiens	"GO:0001781~neutrophil apoptotic process,GO:0001878~response to yeast,GO:0002384~hepatic immune response,GO:0002446~neutrophil mediated immunity,GO:0002526~acute inflammatory response,GO:0002548~monocyte chemotaxis,GO:0002675~positive regulation of acute inflammatory response,GO:0002690~positive regulation of leukocyte chemotaxis,GO:0006469~negative regulation of protein kinase activity,GO:0006953~acute-phase response,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0006959~humoral immune response,GO:0007568~aging,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0008360~regulation of cell shape,GO:0009408~response to heat,GO:0009409~response to cold,GO:0010574~regulation of vascular endothelial growth factor production,GO:0010628~positive regulation of gene expression,GO:0010888~negative regulation of lipid storage,GO:0010976~positive regulation of neuron projection development,GO:0010996~response to auditory stimulus,GO:0016049~cell growth,GO:0019221~cytokine-mediated signaling pathway,GO:0030168~platelet activation,GO:0031000~response to caffeine,GO:0031018~endocrine pancreas development,GO:0031175~neuron projection development,GO:0031669~cellular response to nutrient levels,GO:0032494~response to peptidoglycan,GO:0032722~positive regulation of chemokine production,GO:0032755~positive regulation of interleukin-6 production,GO:0032868~response to insulin,GO:0032966~negative regulation of collagen biosynthetic process,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0033160~positive regulation of protein import into nucleus, translocation,GO:0035729~cellular response to hepatocyte growth factor stimulus,GO:0042060~wound healing,GO:0042102~positive regulation of T cell proliferation,GO:0042493~response to drug,GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein,GO:0042593~glucose homeostasis,GO:0042832~defense response to protozoan,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043200~response to amino acid,GO:0043410~positive regulation of MAPK cascade,GO:0045079~negative regulation of chemokine biosynthetic process,GO:0045188~regulation of circadian sleep/wake cycle, non-REM sleep,GO:0045429~positive regulation of nitric oxide biosynthetic process,GO:0045454~cell redox homeostasis,GO:0045599~negative regulation of fat cell differentiation,GO:0045630~positive regulation of T-helper 2 cell differentiation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045721~negative regulation of gluconeogenesis,GO:0045727~positive regulation of translation,GO:0045740~positive regulation of DNA replication,GO:0045765~regulation of angiogenesis,GO:0045779~negative regulation of bone resorption,GO:0045837~negative regulation of membrane potential,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046427~positive regulation of JAK-STAT cascade,GO:0046677~response to antibiotic,GO:0046716~muscle cell cellular homeostasis,GO:0046849~bone remodeling,GO:0046888~negative regulation of hormone secretion,GO:0048635~negative regulation of muscle organ development,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0050679~positive regulation of epithelial cell proliferation,GO:0050710~negative regulation of cytokine secretion,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,GO:0050871~positive regulation of B cell activation,GO:0051024~positive regulation of immunoglobulin secretion,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051384~response to glucocorticoid,GO:0051592~response to calcium ion,GO:0051602~response to electrical stimulus,GO:0051607~defense response to virus,GO:0051897~positive regulation of protein kinase B signaling,GO:0051971~positive regulation of transmission of nerve impulse,GO:0060445~branching involved in salivary gland morphogenesis,GO:0060664~epithelial cell proliferation involved in salivary gland morphogenesis,GO:0070091~glucagon secretion,GO:0070102~interleukin-6-mediated signaling pathway,GO:0070301~cellular response to hydrogen peroxide,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071222~cellular response to lipopolysaccharide,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071392~cellular response to estradiol stimulus,GO:0071549~cellular response to dexamethasone stimulus,GO:0071864~positive regulation of cell proliferation in bone marrow,GO:0072540~T-helper 17 cell lineage commitment,GO:1901215~negative regulation of neuron death,GO:1990646~cellular response to prolactin,GO:2000366~positive regulation of STAT protein import into nucleus,GO:2000553~positive regulation of T-helper 2 cell cytokine production,GO:2000660~negative regulation of interleukin-1-mediated signaling pathway,GO:2000676~positive regulation of type B pancreatic cell apoptotic process,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005896~interleukin-6 receptor complex,GO:0009897~external side of plasma membrane,"	"GO:0005125~cytokine activity,GO:0005138~interleukin-6 receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04066:HIF-1 signaling pathway,hsa04068:FoxO signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa04621:NOD-like receptor signaling pathway,hsa04623:Cytosolic DNA-sensing pathway,hsa04630:Jak-STAT signaling pathway,hsa04640:Hematopoietic cell lineage,hsa04668:TNF signaling pathway,hsa04672:Intestinal immune network for IgA production,hsa04931:Insulin resistance,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05020:Prion diseases,hsa05132:Salmonella infection,hsa05133:Pertussis,hsa05134:Legionellosis,hsa05142:Chagas disease (American trypanosomiasis),hsa05143:African trypanosomiasis,hsa05144:Malaria,hsa05146:Amoebiasis,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05162:Measles,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05168:Herpes simplex infection,hsa05200:Pathways in cancer,hsa05202:Transcriptional misregulation in cancer,hsa05321:Inflammatory bowel disease (IBD),hsa05323:Rheumatoid arthritis,hsa05332:Graft-versus-host disease,hsa05410:Hypertrophic cardiomyopathy (HCM),"	"108010~Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to,125853~Diabetes, susceptibility to, 222100,148000~Kaposi sarcoma, susceptibility to,266600~Crohn disease-associated growth failure,604302~Rheumatoid arthritis, systemic juvenile,"	"R-HSA-1059683:R-HSA-1059683,R-HSA-110056:R-HSA-110056,R-HSA-112411:R-HSA-112411,R-HSA-2559582:R-HSA-2559582,"
